,spatial-minus-zoneMean-mrt,Size,Design,Weather,Operation
465,1.38,Small,Standard,TMY,PASSIVE
466,0.89,Small,Standard,TMY,PASSIVE
467,1.94,Small,Standard,TMY,PASSIVE
468,2.88,Small,Standard,TMY,PASSIVE
469,2.16,Small,Standard,TMY,PASSIVE
470,1.27,Small,Standard,TMY,PASSIVE
471,0.92,Small,Standard,TMY,PASSIVE
472,0.88,Small,Standard,TMY,PASSIVE
473,0.35,Small,Standard,TMY,PASSIVE
474,-0.16,Small,Standard,TMY,PASSIVE
475,-0.24,Small,Standard,TMY,PASSIVE
476,-0.22,Small,Standard,TMY,PASSIVE
477,-0.22,Small,Standard,TMY,PASSIVE
478,-0.21,Small,Standard,TMY,PASSIVE
479,-0.22,Small,Standard,TMY,PASSIVE
480,-0.24,Small,Standard,TMY,PASSIVE
481,-0.27,Small,Standard,TMY,PASSIVE
482,-0.29,Small,Standard,TMY,PASSIVE
483,-0.27,Small,Standard,TMY,PASSIVE
484,-0.26,Small,Standard,TMY,PASSIVE
485,-0.23,Small,Standard,TMY,PASSIVE
486,0.11,Small,Standard,TMY,PASSIVE
487,0.32,Small,Standard,TMY,PASSIVE
488,0.35,Small,Standard,TMY,PASSIVE
489,0.32,Small,Standard,TMY,PASSIVE
490,0.61,Small,Standard,TMY,PASSIVE
491,0.99,Small,Standard,TMY,PASSIVE
492,1.52,Small,Standard,TMY,PASSIVE
493,1.98,Small,Standard,TMY,PASSIVE
494,1.93,Small,Standard,TMY,PASSIVE
495,1.73,Small,Standard,TMY,PASSIVE
496,1.06,Small,Standard,TMY,PASSIVE
497,0.55,Small,Standard,TMY,PASSIVE
498,-0.11,Small,Standard,TMY,PASSIVE
499,-0.26,Small,Standard,TMY,PASSIVE
500,-0.27,Small,Standard,TMY,PASSIVE
501,-0.26,Small,Standard,TMY,PASSIVE
502,-0.29,Small,Standard,TMY,PASSIVE
503,-0.29,Small,Standard,TMY,PASSIVE
504,-0.29,Small,Standard,TMY,PASSIVE
505,-0.28,Small,Standard,TMY,PASSIVE
506,-0.29,Small,Standard,TMY,PASSIVE
507,-0.28,Small,Standard,TMY,PASSIVE
508,-0.28,Small,Standard,TMY,PASSIVE
509,-0.23,Small,Standard,TMY,PASSIVE
510,0.21,Small,Standard,TMY,PASSIVE
511,0.76,Small,Standard,TMY,PASSIVE
512,1.42,Small,Standard,TMY,PASSIVE
513,1.86,Small,Standard,TMY,PASSIVE
514,2.63,Small,Standard,TMY,PASSIVE
515,2.88,Small,Standard,TMY,PASSIVE
516,2.75,Small,Standard,TMY,PASSIVE
517,2.42,Small,Standard,TMY,PASSIVE
518,1.88,Small,Standard,TMY,PASSIVE
519,1.36,Small,Standard,TMY,PASSIVE
520,0.75,Small,Standard,TMY,PASSIVE
521,0.25,Small,Standard,TMY,PASSIVE
522,-0.29,Small,Standard,TMY,PASSIVE
523,-0.4,Small,Standard,TMY,PASSIVE
524,-0.39,Small,Standard,TMY,PASSIVE
525,-0.38,Small,Standard,TMY,PASSIVE
526,-0.39,Small,Standard,TMY,PASSIVE
527,-0.4,Small,Standard,TMY,PASSIVE
528,-0.39,Small,Standard,TMY,PASSIVE
529,-0.42,Small,Standard,TMY,PASSIVE
530,-0.44,Small,Standard,TMY,PASSIVE
531,-0.43,Small,Standard,TMY,PASSIVE
532,-0.42,Small,Standard,TMY,PASSIVE
533,-0.34,Small,Standard,TMY,PASSIVE
534,0.22,Small,Standard,TMY,PASSIVE
535,0.44,Small,Standard,TMY,PASSIVE
536,0.78,Small,Standard,TMY,PASSIVE
537,2.08,Small,Standard,TMY,PASSIVE
538,2.78,Small,Standard,TMY,PASSIVE
539,2.97,Small,Standard,TMY,PASSIVE
540,2.27,Small,Standard,TMY,PASSIVE
541,2.3,Small,Standard,TMY,PASSIVE
542,1.76,Small,Standard,TMY,PASSIVE
543,1.22,Small,Standard,TMY,PASSIVE
544,0.64,Small,Standard,TMY,PASSIVE
545,0.29,Small,Standard,TMY,PASSIVE
546,-0.18,Small,Standard,TMY,PASSIVE
547,-0.25,Small,Standard,TMY,PASSIVE
548,-0.24,Small,Standard,TMY,PASSIVE
549,-0.22,Small,Standard,TMY,PASSIVE
550,-0.21,Small,Standard,TMY,PASSIVE
551,-0.23,Small,Standard,TMY,PASSIVE
552,-0.26,Small,Standard,TMY,PASSIVE
553,-0.28,Small,Standard,TMY,PASSIVE
554,-0.3,Small,Standard,TMY,PASSIVE
555,-0.3,Small,Standard,TMY,PASSIVE
556,-0.32,Small,Standard,TMY,PASSIVE
557,-0.26,Small,Standard,TMY,PASSIVE
558,0.31,Small,Standard,TMY,PASSIVE
559,0.75,Small,Standard,TMY,PASSIVE
560,1.04,Small,Standard,TMY,PASSIVE
561,1.6,Small,Standard,TMY,PASSIVE
